idLocacao|dataLocacao|horaLocacao|qtdDiaria|vlrDiaria|dataEntrega|horaEntrega|id_clientefk|id_vendedorfk|id_carrofk
1|2015-01-10|10:00|2|100.0|2015-01-12|10:00|2|5|98
2|2015-02-10|12:00|2|100.0|2015-02-12|12:00|2|5|98
3|2015-02-13|12:00|2|150.0|2015-02-15|12:00|3|6|99
4|2015-02-15|13:00|5|150.0|2015-02-20|13:00|4|6|99
5|2015-03-02|14:00|5|150.0|2015-03-07|14:00|4|7|99
6|2016-03-02|14:00|10|250.0|2016-03-12|14:00|6|8|3
7|2016-08-02|14:00|10|250.0|2016-08-12|14:00|6|8|3
8|2017-01-02|18:00|10|250.0|2017-01-12|18:00|4|6|3
9|2018-01-02|18:00|10|280.0|2018-01-12|18:00|4|6|3
10|2018-03-02|18:00|10|50.0|2018-03-12|18:00|10|16|10
11|2018-04-01|11:00|10|50.0|2018-04-11|11:00|20|16|7
12|2020-04-01|11:00|10|150.0|2020-04-11|11:00|20|16|6
13|2022-05-01|08:00|20|150.0|2022-05-21|18:00|22|30|2
14|2022-06-01|08:00|20|150.0|2022-06-21|18:00|22|30|2
15|2022-07-01|08:00|20|150.0|2022-07-21|18:00|22|30|2
16|2022-08-01|08:00|20|150.0|2022-07-21|18:00|22|30|2
17|2022-09-01|08:00|20|150.0|2022-09-21|18:00|23|31|4
18|2022-10-01|08:00|20|150.0|2022-10-21|18:00|23|31|4
19|2022-11-01|08:00|20|150.0|2022-11-21|18:00|23|31|4
20|2023-01-02|18:00|10|880.0|2023-01-12|18:00|5|16|1
21|2023-01-15|18:00|10|880.0|2023-01-25|18:00|5|16|1
22|2023-01-25|08:00|5|600.0|2023-01-30|18:00|26|32|5
23|2023-01-31|08:00|5|600.0|2023-02-05|18:00|26|32|5
24|2023-02-06|08:00|5|600.0|2023-02-11|18:00|26|32|5
25|2023-02-12|08:00|5|600.0|2023-02-17|18:00|26|32|5
26|2023-02-18|08:00|1|600.0|2023-02-19|18:00|26|32|5
